t_sec,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,raw
1.903,4088,1632,15152,384,43,-25,ax=4088 ay=1632 az=15152 gx=384 gy=43 gz=-25
1.987,4168,1640,15220,395,40,11,ax=4168 ay=1640 az=15220 gx=395 gy=40 gz=11
2.161,4192,1572,15204,396,17,64,ax=4192 ay=1572 az=15204 gx=396 gy=17 gz=64
2.319,4132,1616,15260,426,53,28,ax=4132 ay=1616 az=15260 gx=426 gy=53 gz=28
2.490,4180,1632,15272,424,30,8,ax=4180 ay=1632 az=15272 gx=424 gy=30 gz=8
2.658,4188,1588,15244,426,31,1,ax=4188 ay=1588 az=15244 gx=426 gy=31 gz=1
2.830,,,,,,,imu_read_failed
3.007,4160,1624,15224,406,-20,46,ax=4160 ay=1624 az=15224 gx=406 gy=-20 gz=46
3.167,,,,,,,imu_read_failed
3.343,4076,1612,15280,423,-32,-18,ax=4076 ay=1612 az=15280 gx=423 gy=-32 gz=-18
3.517,4164,1556,15304,415,30,56,ax=4164 ay=1556 az=15304 gx=415 gy=30 gz=56
3.678,4124,1580,15288,396,34,50,ax=4124 ay=1580 az=15288 gx=396 gy=34 gz=50
3.855,4132,1548,15224,380,46,29,ax=4132 ay=1548 az=15224 gx=380 gy=46 gz=29
4.008,4108,1540,15232,427,20,3,ax=4108 ay=1540 az=15232 gx=427 gy=20 gz=3
4.184,4092,1628,15252,408,2,34,ax=4092 ay=1628 az=15252 gx=408 gy=2 gz=34
4.357,4184,1596,15224,408,23,26,ax=4184 ay=1596 az=15224 gx=408 gy=23 gz=26
4.520,,,,,,,imu_read_failed
4.693,4164,1580,15056,431,13,34,ax=4164 ay=1580 az=15056 gx=431 gy=13 gz=34
4.866,4088,1596,15216,381,0,47,ax=4088 ay=1596 az=15216 gx=381 gy=0 gz=47
5.029,,,,,,,imu_read_failed
5.197,,,,,,,imu_read_failed
5.370,4116,1560,15284,396,-2,33,ax=4116 ay=1560 az=15284 gx=396 gy=-2 gz=33
5.539,,,,,,,imu_read_failed
5.717,4148,1644,15240,400,-17,-12,ax=4148 ay=1644 az=15240 gx=400 gy=-17 gz=-12
5.883,4152,1676,15172,388,22,5,ax=4152 ay=1676 az=15172 gx=388 gy=22 gz=5
6.043,4172,1612,15228,401,70,14,ax=4172 ay=1612 az=15228 gx=401 gy=70 gz=14
6.207,4140,1572,15196,391,14,38,ax=4140 ay=1572 az=15196 gx=391 gy=14 gz=38
6.382,4164,1620,15288,391,27,19,ax=4164 ay=1620 az=15288 gx=391 gy=27 gz=19
6.550,4136,1600,15192,429,17,0,ax=4136 ay=1600 az=15192 gx=429 gy=17 gz=0
6.717,4180,1600,15176,436,42,11,ax=4180 ay=1600 az=15176 gx=436 gy=42 gz=11
6.889,,,,,,,imu_read_failed
7.065,4076,1592,15156,408,7,32,ax=4076 ay=1592 az=15156 gx=408 gy=7 gz=32
7.226,,,,,,,imu_read_failed
7.389,,,,,,,imu_read_failed
7.565,4144,1616,15300,390,37,40,ax=4144 ay=1616 az=15300 gx=390 gy=37 gz=40
7.716,4144,1552,15200,425,41,2,ax=4144 ay=1552 az=15200 gx=425 gy=41 gz=2
7.880,4132,1584,15188,365,6,33,ax=4132 ay=1584 az=15188 gx=365 gy=6 gz=33
8.050,4156,1576,15168,411,37,36,ax=4156 ay=1576 az=15168 gx=411 gy=37 gz=36
8.220,4168,1596,15220,432,14,22,ax=4168 ay=1596 az=15220 gx=432 gy=14 gz=22
8.391,,,,,,,imu_read_failed
8.563,4176,1588,15172,416,34,23,ax=4176 ay=1588 az=15172 gx=416 gy=34 gz=23
8.730,4152,1612,15264,443,27,28,ax=4152 ay=1612 az=15264 gx=443 gy=27 gz=28
8.896,4120,1636,15308,393,13,37,ax=4120 ay=1636 az=15308 gx=393 gy=13 gz=37
9.058,4156,1628,15204,412,32,29,ax=4156 ay=1628 az=15204 gx=412 gy=32 gz=29
9.231,4136,1560,15344,419,31,3,ax=4136 ay=1560 az=15344 gx=419 gy=31 gz=3
9.389,,,,,,,imu_read_failed
9.567,4076,1600,15224,435,27,27,ax=4076 ay=1600 az=15224 gx=435 gy=27 gz=27
9.725,4116,1592,15260,363,33,14,ax=4116 ay=1592 az=15260 gx=363 gy=33 gz=14
9.887,4096,1612,15172,425,53,6,ax=4096 ay=1612 az=15172 gx=425 gy=53 gz=6
10.050,4112,1580,15300,425,21,4,ax=4112 ay=1580 az=15300 gx=425 gy=21 gz=4
10.214,,,,,,,imu_read_failed
10.374,4084,1608,15184,453,31,12,ax=4084 ay=1608 az=15184 gx=453 gy=31 gz=12
10.543,,,,,,,imu_read_failed
10.706,4128,1544,15244,428,32,32,ax=4128 ay=1544 az=15244 gx=428 gy=32 gz=32
10.863,4056,1620,15128,407,26,-15,ax=4056 ay=1620 az=15128 gx=407 gy=26 gz=-15
11.026,4084,1600,15224,434,-27,45,ax=4084 ay=1600 az=15224 gx=434 gy=-27 gz=45
11.207,4204,1596,15204,400,17,44,ax=4204 ay=1596 az=15204 gx=400 gy=17 gz=44
11.389,4096,1632,15300,395,20,13,ax=4096 ay=1632 az=15300 gx=395 gy=20 gz=13
11.563,4160,1580,15236,429,21,0,ax=4160 ay=1580 az=15236 gx=429 gy=21 gz=0
11.723,,,,,,,imu_read_failed
