t_sec,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,raw
2.326,4000,1568,15264,435,7,42,ax=4000 ay=1568 az=15264 gx=435 gy=7 gz=42
2.408,,,,,,,imu_read_failed
2.569,4136,1624,15196,441,-17,27,ax=4136 ay=1624 az=15196 gx=441 gy=-17 gz=27
2.738,,,,,,,imu_read_failed
2.897,4136,1616,15172,418,39,56,ax=4136 ay=1616 az=15172 gx=418 gy=39 gz=56
3.068,,,,,,,imu_read_failed
3.237,2896,1564,15228,278,-217,-243,ax=2896 ay=1564 az=15228 gx=278 gy=-217 gz=-243
3.414,,,,,,,imu_read_failed
3.587,3744,384,15180,-496,-10209,715,ax=3744 ay=384 az=15180 gx=-496 gy=-10209 gz=715
3.741,,,,,,,imu_read_failed
3.907,13244,-532,11176,-1838,-6355,-918,ax=13244 ay=-532 az=11176 gx=-1838 gy=-6355 gz=-918
4.070,12568,-136,10456,93,-289,20,ax=12568 ay=-136 az=10456 gx=93 gy=-289 gz=20
4.237,12048,-716,9964,1126,-520,-625,ax=12048 ay=-716 az=9964 gx=1126 gy=-520 gz=-625
4.403,12048,560,11012,968,94,-612,ax=12048 ay=560 az=11012 gx=968 gy=94 gz=-612
4.576,,,,,,,imu_read_failed
4.746,11032,324,12164,1333,2543,2947,ax=11032 ay=324 az=12164 gx=1333 gy=2543 gz=2947
4.910,11564,536,10952,-2964,-4378,-277,ax=11564 ay=536 az=10952 gx=-2964 gy=-4378 gz=-277
5.086,11608,116,10880,667,70,-35,ax=11608 ay=116 az=10880 gx=667 gy=70 gz=-35
5.248,,,,,,,imu_read_failed
5.406,,,,,,,imu_read_failed
5.572,11712,188,10844,478,78,-130,ax=11712 ay=188 az=10844 gx=478 gy=78 gz=-130
5.748,11632,200,10964,453,16,-39,ax=11632 ay=200 az=10964 gx=453 gy=16 gz=-39
5.902,11620,296,10904,401,7,-32,ax=11620 ay=296 az=10904 gx=401 gy=7 gz=-32
6.072,,,,,,,imu_read_failed
6.242,,,,,,,imu_read_failed
6.420,11532,396,11052,429,75,-22,ax=11532 ay=396 az=11052 gx=429 gy=75 gz=-22
6.575,11500,364,11016,434,68,-19,ax=11500 ay=364 az=11016 gx=434 gy=68 gz=-19
6.750,11448,292,11088,468,109,-58,ax=11448 ay=292 az=11088 gx=468 gy=109 gz=-58
6.913,11448,472,11052,475,139,-10,ax=11448 ay=472 az=11052 gx=475 gy=139 gz=-10
7.083,11636,296,10944,575,348,-165,ax=11636 ay=296 az=10944 gx=575 gy=348 gz=-165
7.250,10660,556,11508,985,3768,60,ax=10660 ay=556 az=11508 gx=985 gy=3768 gz=60
7.420,10024,652,12992,598,6753,-509,ax=10024 ay=652 az=12992 gx=598 gy=6753 gz=-509
7.592,,,,,,,imu_read_failed
7.765,5860,1176,13672,1523,5557,154,ax=5860 ay=1176 az=13672 gx=1523 gy=5557 gz=154
7.927,4644,1460,14796,472,181,581,ax=4644 ay=1460 az=14796 gx=472 gy=181 gz=581
8.100,4160,1492,15120,408,-82,80,ax=4160 ay=1492 az=15120 gx=408 gy=-82 gz=80
8.266,4676,1564,15216,770,1761,-61,ax=4676 ay=1564 az=15216 gx=770 gy=1761 gz=-61
8.439,3280,1892,16564,166,3685,68,ax=3280 ay=1892 az=16564 gx=166 gy=3685 gz=68
8.594,,,,,,,imu_read_failed
8.766,-3044,2092,13424,3175,11136,-1523,ax=-3044 ay=2092 az=13424 gx=3175 gy=11136 gz=-1523
8.932,,,,,,,imu_read_failed
9.097,-4056,1960,14840,-406,1476,139,ax=-4056 ay=1960 az=14840 gx=-406 gy=1476 gz=139
9.267,-5960,2024,15808,378,-1047,157,ax=-5960 ay=2024 az=15808 gx=378 gy=-1047 gz=157
9.419,-3768,1920,15100,700,260,138,ax=-3768 ay=1920 az=15100 gx=700 gy=260 gz=138
9.582,-4296,2576,15128,772,282,509,ax=-4296 ay=2576 az=15128 gx=772 gy=282 gz=509
9.752,,,,,,,imu_read_failed
9.924,-4732,2716,14816,468,-311,-100,ax=-4732 ay=2716 az=14816 gx=468 gy=-311 gz=-100
10.096,-4652,2760,14864,587,-4,135,ax=-4652 ay=2760 az=14864 gx=587 gy=-4 gz=135
10.262,-4560,2832,14812,551,14,179,ax=-4560 ay=2832 az=14812 gx=551 gy=14 gz=179
10.435,-4568,2728,14836,355,-9,-32,ax=-4568 ay=2728 az=14836 gx=355 gy=-9 gz=-32
10.592,,,,,,,imu_read_failed
10.757,-4376,2836,15012,516,-197,129,ax=-4376 ay=2836 az=15012 gx=516 gy=-197 gz=129
10.937,-4056,2828,14680,459,-13,8,ax=-4056 ay=2828 az=14680 gx=459 gy=-13 gz=8
11.121,-4180,2884,14836,520,-223,-4,ax=-4180 ay=2884 az=14836 gx=520 gy=-223 gz=-4
11.281,-4372,2920,14828,740,-543,14,ax=-4372 ay=2920 az=14828 gx=740 gy=-543 gz=14
11.452,,,,,,,imu_read_failed
11.620,-2224,3188,14488,551,-6694,483,ax=-2224 ay=3188 az=14488 gx=551 gy=-6694 gz=483
11.791,,,,,,,imu_read_failed
11.951,6796,1272,12256,-4702,-14,985,ax=6796 ay=1272 az=12256 gx=-4702 gy=-14 gz=985
12.118,3604,1628,15216,310,-60,-152,ax=3604 ay=1628 az=15216 gx=310 gy=-60 gz=-152
12.288,4588,944,15092,862,1274,-1163,ax=4588 ay=944 az=15092 gx=862 gy=1274 gz=-1163
12.466,4112,1524,14896,504,-856,-40,ax=4112 ay=1524 az=14896 gx=504 gy=-856 gz=-40
