t_sec,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,raw
1.498,5004,1228,14976,567,237,16,ax=5004 ay=1228 az=14976 gx=567 gy=237 gz=16
1.579,,,,,,,imu_read_failed
1.755,4376,1576,15096,392,30,10,ax=4376 ay=1576 az=15096 gx=392 gy=30 gz=10
1.929,,,,,,,imu_read_failed
2.101,3592,768,14872,-614,1055,-901,ax=3592 ay=768 az=14872 gx=-614 gy=1055 gz=-901
2.272,4516,1708,15744,-4433,997,310,ax=4516 ay=1708 az=15744 gx=-4433 gy=997 gz=310
2.438,3296,-2276,14104,-8943,2443,1601,ax=3296 ay=-2276 az=14104 gx=-8943 gy=2443 gz=1601
2.608,2668,-5736,16836,-5593,1012,2084,ax=2668 ay=-5736 az=16836 gx=-5593 gy=1012 gz=2084
2.774,1724,-6180,12360,-8270,756,2951,ax=1724 ay=-6180 az=12360 gx=-8270 gy=756 gz=2951
2.952,904,-9884,12824,-3809,1015,3029,ax=904 ay=-9884 az=12824 gx=-3809 gy=1015 gz=3029
3.112,-796,-10664,14172,-2813,2609,1997,ax=-796 ay=-10664 az=14172 gx=-2813 gy=2609 gz=1997
3.277,1368,-11336,10364,-1657,-24,779,ax=1368 ay=-11336 az=10364 gx=-1657 gy=-24 gz=779
3.443,-1456,-11816,9144,2513,141,972,ax=-1456 ay=-11816 az=9144 gx=2513 gy=141 gz=972
3.612,,,,,,,imu_read_failed
3.786,-1172,-11492,11032,289,248,210,ax=-1172 ay=-11492 az=11032 gx=289 gy=248 gz=210
3.944,-908,-12196,10176,304,-18,-139,ax=-908 ay=-12196 az=10176 gx=304 gy=-18 gz=-139
4.112,-764,-11932,10676,543,-72,172,ax=-764 ay=-11932 az=10676 gx=543 gy=-72 gz=172
4.280,-576,-12148,10512,516,-67,178,ax=-576 ay=-12148 az=10512 gx=516 gy=-67 gz=178
4.449,-668,-11832,11080,-30,46,-132,ax=-668 ay=-11832 az=11080 gx=-30 gy=46 gz=-132
4.620,-892,-12140,10388,-103,-72,2,ax=-892 ay=-12140 az=10388 gx=-103 gy=-72 gz=2
4.790,-896,-12264,10264,141,-50,-10,ax=-896 ay=-12264 az=10264 gx=141 gy=-50 gz=-10
4.961,,,,,,,imu_read_failed
5.140,-1420,-13200,8604,6238,-2827,-781,ax=-1420 ay=-13200 az=8604 gx=6238 gy=-2827 gz=-781
5.311,888,-8900,12004,10314,-3036,-3255,ax=888 ay=-8900 az=12004 gx=10314 gy=-3036 gz=-3255
5.483,1916,-4764,13892,11812,-2272,-3565,ax=1916 ay=-4764 az=13892 gx=11812 gy=-2272 gz=-3565
5.650,,,,,,,imu_read_failed
5.813,4760,-1472,12860,8336,-3862,-1395,ax=4760 ay=-1472 az=12860 gx=8336 gy=-3862 gz=-1395
5.981,2272,1692,16132,2060,1421,-1282,ax=2272 ay=1692 az=16132 gx=2060 gy=1421 gz=-1282
6.150,,,,,,,imu_read_failed
6.325,5412,8224,11320,8608,-450,-5873,ax=5412 ay=8224 az=11320 gx=8608 gy=-450 gz=-5873
6.481,3228,10416,11640,3519,-478,-145,ax=3228 ay=10416 az=11640 gx=3519 gy=-478 gz=-145
6.651,,,,,,,imu_read_failed
6.824,2924,12464,8560,5119,-154,-683,ax=2924 ay=12464 az=8560 gx=5119 gy=-154 gz=-683
6.999,1456,14688,10688,2596,-129,-439,ax=1456 ay=14688 az=10688 gx=2596 gy=-129 gz=-439
7.174,3636,13656,7900,541,-30,369,ax=3636 ay=13656 az=7900 gx=541 gy=-30 gz=369
7.344,3292,13492,7880,528,34,132,ax=3292 ay=13492 az=7880 gx=528 gy=34 gz=132
7.511,,,,,,,imu_read_failed
7.681,3564,13524,7680,443,-57,16,ax=3564 ay=13524 az=7680 gx=443 gy=-57 gz=16
7.851,,,,,,,imu_read_failed
8.025,3492,13540,7720,378,69,35,ax=3492 ay=13540 az=7720 gx=378 gy=69 gz=35
8.193,,,,,,,imu_read_failed
8.370,,,,,,,imu_read_failed
8.544,3476,13584,7820,461,-27,-71,ax=3476 ay=13584 az=7820 gx=461 gy=-27 gz=-71
8.722,3232,13724,7844,55,507,14,ax=3232 ay=13724 az=7844 gx=55 gy=507 gz=14
8.889,,,,,,,imu_read_failed
9.058,,,,,,,imu_read_failed
9.229,2288,3428,14164,-10258,2951,1457,ax=2288 ay=3428 az=14164 gx=-10258 gy=2951 gz=1457
9.399,,,,,,,imu_read_failed
9.579,4644,-1492,17068,-1313,-1243,2334,ax=4644 ay=-1492 az=17068 gx=-1313 gy=-1243 gz=2334
9.758,3136,1984,15500,-1089,-3550,-128,ax=3136 ay=1984 az=15500 gx=-1089 gy=-3550 gz=-128
9.921,,,,,,,imu_read_failed
10.096,3936,1612,15340,408,-40,51,ax=3936 ay=1612 az=15340 gx=408 gy=-40 gz=51
10.250,3976,1688,15352,414,-10,8,ax=3976 ay=1688 az=15352 gx=414 gy=-10 gz=8
10.418,,,,,,,imu_read_failed
10.579,,,,,,,imu_read_failed
10.752,4044,1608,15196,435,105,65,ax=4044 ay=1608 az=15196 gx=435 gy=105 gz=65
10.914,3956,1604,15260,412,66,28,ax=3956 ay=1604 az=15260 gx=412 gy=66 gz=28
11.080,3992,1648,15380,428,61,57,ax=3992 ay=1648 az=15380 gx=428 gy=61 gz=57
11.254,4000,1552,15292,414,34,4,ax=4000 ay=1552 az=15292 gx=414 gy=34 gz=4
11.423,,,,,,,imu_read_failed
11.588,,,,,,,imu_read_failed
11.750,4056,1624,15296,400,28,52,ax=4056 ay=1624 az=15296 gx=400 gy=28 gz=52
11.920,4016,1600,15268,410,29,31,ax=4016 ay=1600 az=15268 gx=410 gy=29 gz=31
12.089,,,,,,,imu_read_failed
12.259,,,,,,,imu_read_failed
